Species Name,Lanan Foraging Strategy,Foraging Strategy,Species or Genus level,"Foraging strategy source (author, year, journal)","Foraging type of evidence (lab, field, observation, experiment)",Foraging source link,"Corroborating or Conflicting Reports (author, year, journal)",Corroborating or Conflicting Report Link,Notes to self and/or for Sean,Search Terms (successful in bold),,,,
Acromyrmex balzani,Solitary foraging,Mass Recruitment by Pheromone Trail,Genus,Marcel Madureira,Field Observation,https://www.researchgate.net/publication/328825579_Why_do_Acromyrmex_nests_have_thatched_entrance_structures_Evidence_for_use_as_a_visual_homing_cue,conflicts w/ below,,landolti is a subspecies of balzani - same strategy for both,"acryomyrmex balzani foraging, acryomyrmex balzani foraging strategy, acryomyrmex balzani recruitment, acryomyrmex balzani solitary foraging",,,,
Acromyrmex landolti,,Solitary Foraging,Species,"Julio Poderoso et al., 2009, Sociobiology",Field Observation,https://www.researchgate.net/publication/257829047_Nest_and_Foraging_Characteristics_of_Acromyrmex_landolti_balzani_Hymenoptera_Formicidae_in_Northeast_Brazil,need corroborating reports,,agree for now w/ Solitary Foraging but could use corroborating reports,Acromyrmex landolti foraging,,,,
Acromyrmex rugosus rugosus,"""Does not construct well-defined trails""",,,,,,,,,,,,,
Acromyrmex subterraneanus,Trunk trails,,,,,,,,,,,,,
Aphaenogaster treatae,,Solitary foraging,Species,"John F. Carrol, 1975, University of Florida Dissertation",Field Observation,https://ufdc.ufl.edu/UF00098926/00001/1j, ,,confirmed,"aphaenogaster treatae foraging, aphaenogaster treatae foraging strategy",,,,
Aphaenogaster floridana,,Solitary foraging,Species,"John F. Carrol, 1975, University of Florida Dissertation",Field Observation,https://ufdc.ufl.edu/UF00098926/00001/1j,,,Based on notes about other species - single foragers were killed by other ants,"aphaenogaster floridana recruitment, ""aphaenogaster"" floridana forage strategy, ""aphaenogaster"" forage strategy, ""aphaenogaster floridana"" recruitment",,,,
Aphaenogaster ashmeadi,,Solitary Foraging,Species,"John F. Carrol, 1975, University of Florida Dissertation",Field Observation,https://ufdc.ufl.edu/UF00098926/00001/1j,,,confirmed,aphaenogaster ashmeadi foraging strategy,,,,
Atta bisphaerica,Trunk trails,Stable Trunk Trail,Species,"Lopes et al 2016, PLOS One",Field Observation,https://doi.org/10.1371/journal.pone.0146613,,,,,,,,
Atta laevigata,Trunk trails up to 60m,Stable Trunk Trail,Species,"Moreira et al 2004, Neotropical Fauna",Field Observation,https://doi.org/10.1080/01650520412331333756,,,,,,,,
Camponotus socius,"Group recruitment, long-term trail network",Long-term Trail Network,Species,"Michele Lanan, 2014, Myrmecological News",???,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4267257/#SD2,,,,Camponotus socius foraging,,,,
