"","NestID","SiteID","NestDepthcm","midNestDepthcm","lat","lon","AWCforRootableSoilDepthHWSD","CoarseFragmentsHWSD","SandHWSD","SiltHWSD","ClayHWSD","BulkDensityHWSD","ReferenceBulkDensityHWSD","OrganicCarbonContentHWSD","lat2","lon2","bdod_0.5cm_mean","bdod_100.200cm_mean","bdod_15.30cm_mean","bdod_30.60cm_mean","bdod_5.15cm_mean","bdod_60.100cm_mean","cfvo_0.5cm_mean","cfvo_100.200cm_mean","cfvo_15.30cm_mean","cfvo_30.60cm_mean","cfvo_5.15cm_mean","cfvo_60.100cm_mean","clay_0.5cm_mean","clay_100.200cm_mean","clay_15.30cm_mean","clay_30.60cm_mean","clay_5.15cm_mean","clay_60.100cm_mean","ocd_0.5cm_mean","ocd_100.200cm_mean","ocd_15.30cm_mean","ocd_30.60cm_mean","ocd_5.15cm_mean","ocd_60.100cm_mean","sand_0.5cm_mean","sand_100.200cm_mean","sand_15.30cm_mean","sand_30.60cm_mean","sand_5.15cm_mean","sand_60.100cm_mean","silt_0.5cm_mean","silt_100.200cm_mean","silt_15.30cm_mean","silt_30.60cm_mean","silt_5.15cm_mean","silt_60.100cm_mean"
"1","A_ashmeadi9","Tschinkel11_Apalachicola",32,16,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"2","A_ashmeadi48new","Tschinkel11_Apalachicola",13,6.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"3","A_ashmeadi50","Tschinkel11_Apalachicola",12,6,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"4","A_ashmeadi57","Tschinkel11_Apalachicola",11,5.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"5","A_ashmeadi52","Tschinkel11_Apalachicola",7.59,3.795,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"6","A_ashmeadi41","Tschinkel11_Apalachicola",24.89,12.445,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"7","A_ashmeadi42","Tschinkel11_Apalachicola",10,5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"8","A_ashmeadi43","Tschinkel11_Apalachicola",12.95,6.475,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"9","A_ashmeadi45","Tschinkel11_Apalachicola",16,8,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"10","A_ashmeadi46","Tschinkel11_Apalachicola",13,6.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"11","A_ashmeadi47","Tschinkel11_Apalachicola",15,7.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"12","A_floridana1","Tschinkel11_Apalachicola",28.13,14.065,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"13","A_floridana2","Tschinkel11_Apalachicola",30.89,15.445,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"14","A_floridana3","Tschinkel11_Apalachicola",30.44,15.22,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"15","A_floridana4","Tschinkel11_Apalachicola",41.69,20.845,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"16","A_floridana5","Tschinkel11_Apalachicola",28,14,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"17","A_floridana6","Tschinkel11_Apalachicola",75,37.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"18","A_floridana7","Tschinkel11_Apalachicola",20,10,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"19","A_floridana8","Tschinkel11_Apalachicola",29.49,14.745,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"20","A_floridana9","Tschinkel11_Apalachicola",30.11,15.055,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"21","A_floridana10","Tschinkel11_Apalachicola",30.22,15.11,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"22","A_floridana11","Tschinkel11_Apalachicola",43,21.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"23","A_floridana15","Tschinkel11_Apalachicola",32,16,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"24","A_floridana16","Tschinkel11_Apalachicola",32,16,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"25","A_floridana17","Tschinkel11_Apalachicola",10,5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"26","A_floridana18","Tschinkel11_Apalachicola",45,22.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"27","A_floridana19","Tschinkel11_Apalachicola",31.52,15.76,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"28","A_floridana20","Tschinkel11_Apalachicola",37.02,18.51,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"29","A_floridana35","Tschinkel11_Apalachicola",33.55,16.775,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"30","A_floridana21","Tschinkel11_Apalachicola",54.93,27.465,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"31","A_floridana22","Tschinkel11_Apalachicola",48,24,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"32","A_floridana24","Tschinkel11_Apalachicola",87,43.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"33","A_floridana25","Tschinkel11_Apalachicola",50.37,25.185,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"34","A_floridana26","Tschinkel11_Apalachicola",55.23,27.615,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"35","A_floridana27","Tschinkel11_Apalachicola",25.07,12.535,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"36","A_treatae28","Tschinkel11_Apalachicola",24,12,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"37","A_treatae29","Tschinkel11_Apalachicola",22,11,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"38","A_treatae30","Tschinkel11_Apalachicola",23.45,11.725,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"39","A_treatae31","Tschinkel11_Apalachicola",8,4,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"40","A_treatae37","Tschinkel11_Apalachicola",16.56,8.28,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"41","A_treatae41","Tschinkel11_Apalachicola",24,12,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"42","A_treatae42","Tschinkel11_Apalachicola",22,11,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"43","A_treatae34","Tschinkel11_Apalachicola",10.38,5.19,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"44","A_treatae35","Tschinkel11_Apalachicola",11.38,5.69,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"45","A_treatae36","Tschinkel11_Apalachicola",11,5.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"46","A_treatae39","Tschinkel11_Apalachicola",25,12.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"47","C_socius1","Tschinkel05_Apalachicola",24,12,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"48","C_socius10","Tschinkel05_Apalachicola",38.72,19.36,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"49","C_socius11","Tschinkel05_Apalachicola",21,10.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"50","C_socius12","Tschinkel05_Apalachicola",30.14,15.07,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
